Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
bmg2024ccsf,2024-01-30T22:32:20.809409Z,1.491829395,99.6280899,2.887956762,MLv,165,35,118.1091671,"Northern Sumatra, Indonesia",BMKG
bmg2024cbtb,2024-01-30T09:49:36.1353Z,4.366219997,96.84062958,3.96293717,MLv,5,58,46.14782476,"Northern Sumatra, Indonesia",BMKG
bmg2024cbcw,2024-01-30T01:38:49.207026Z,-3.534729958,102.4401474,3.582914497,M,10,38,77.84136963,"Southern Sumatra, Indonesia",BMKG
bmg2024cbab,2024-01-30T00:13:42.93097Z,0.2881138921,97.01425171,4.123478001,MLv,26,41,202.6468964,"Northern Sumatra, Indonesia",BMKG
bmg2024cakx,2024-01-29T16:34:19.290276Z,0.4767362177,98.34382629,3.226258213,MLv,4,32,93.5909729,"Northern Sumatra, Indonesia",BMKG
bmg2024bzgl,2024-01-29T01:11:58.854074Z,-6.327270031,103.6217957,3.870640216,MLv,13,43,221.3026276,"Southwest of Sumatra, Indonesia",BMKG
bmg2024byus,2024-01-28T19:15:42.127995Z,-4.842182636,102.8365173,2.873935574,MLv,31,36,210.5345993,"Southern Sumatra, Indonesia",BMKG
bmg2024byra,2024-01-28T17:23:05.673851Z,4.514056683,96.4989624,2.320394463,MLv,10,18,84.06735229,"Northern Sumatra, Indonesia",BMKG
bmg2024bymw,2024-01-28T15:18:16.29369Z,-6.278318882,103.6830521,3.369606575,MLv,13,30,226.5650864,"Southwest of Sumatra, Indonesia",BMKG
bmg2024bydp,2024-01-28T10:37:25.988456Z,-2.566192627,102.2488632,3.891933208,MLv,2,37,55.69261265,"Southern Sumatra, Indonesia",BMKG
bmg2024bxxd,2024-01-28T07:21:19.902621Z,4.873154163,95.99866486,3.036025487,MLv,11,11,130.5513458,"Northern Sumatra, Indonesia",BMKG
bmg2024bxwd,2024-01-28T06:51:07.583526Z,1.900805831,98.36688995,2.761889372,MLv,55,41,73.55723572,"Northern Sumatra, Indonesia",BMKG
bmg2024bxme,2024-01-28T01:48:16.582603Z,-0.1162020192,100.3208847,2.419734444,MLv,10,17,122.0185394,"Southern Sumatra, Indonesia",BMKG
bmg2024bwzx,2024-01-27T19:36:48.270761Z,-8.626338959,105.978981,3.231705134,MLv,10,37,270.0153503,"South of Java, Indonesia",BMKG
bmg2024bwwb,2024-01-27T17:40:42.077041Z,-3.839478731,99.71772766,3.841358116,MLv,12,50,239.6386948,"Southwest of Sumatra, Indonesia",BMKG
bmg2024bwul,2024-01-27T16:50:58.016875Z,-0.6075585485,100.5135345,4.616823098,MLv,3,84,32.38021851,"Southern Sumatra, Indonesia",BMKG
bmg2024bwty,2024-01-27T16:35:40.983329Z,0.2177910656,97.099617,4.067109754,M,26,78,201.4432526,"Northern Sumatra, Indonesia",BMKG
bmg2024bwek,2024-01-27T08:45:43.411692Z,-0.5941882133,100.5099182,3.221390735,MLv,8,41,38.47946167,"Southern Sumatra, Indonesia",BMKG
bmg2024bwei,2024-01-27T08:42:28.37332Z,-0.607478559,100.4877472,2.792772331,MLv,10,37,61.46913147,"Southern Sumatra, Indonesia",BMKG
bmg2024bweh,2024-01-27T08:41:17.684993Z,-0.6027855277,100.5148849,2.303285139,M,10,21,94.48898315,"Southern Sumatra, Indonesia",BMKG
bmg2024bwdk,2024-01-27T08:15:03.513686Z,-0.6066634059,100.5018997,3.054417177,M,8,39,56.71484375,"Southern Sumatra, Indonesia",BMKG
bmg2024bwdh,2024-01-27T08:11:32.565295Z,-0.6107630134,100.5136642,2.289299425,MLv,10,24,96.42337036,"Southern Sumatra, Indonesia",BMKG
bmg2024bwcd,2024-01-27T07:36:55.299719Z,0.1292646825,100.0280914,3.20468976,MLv,10,36,104.9448853,"Northern Sumatra, Indonesia",BMKG
bmg2024bvnm,2024-01-27T00:12:14.618952Z,0.2605628967,96.77553558,3.507632847,MLv,31,34,210.9622498,Off West Coast of Northern Sumatra,BMKG
bmg2024buzz,2024-01-26T17:22:58.245514Z,-4.660157681,103.6215134,2.986724302,MLv,99,29,79.62490845,"Southern Sumatra, Indonesia",BMKG
bmg2024buzl,2024-01-26T17:06:01.428478Z,-3.29452467,101.5526047,2.81146185,MLv,31,23,158.6525269,"Southern Sumatra, Indonesia",BMKG
bmg2024buyy,2024-01-26T16:51:45.778052Z,2.580378532,98.62932587,2.763146247,MLv,5,32,97.85150909,"Northern Sumatra, Indonesia",BMKG
bmg2024buhk,2024-01-26T07:59:23.033742Z,-1.582102537,99.37985992,3.09203376,MLv,10,31,88.02970886,"Southern Sumatra, Indonesia",BMKG
bmg2024bubs,2024-01-26T05:06:51.070213Z,-5.875364304,105.932045,2.84160752,MLv,190,32,172.0245285,"Sunda Strait, Indonesia",BMKG
bmg2024btrh,2024-01-25T23:51:12.700903Z,3.843182564,95.8158493,3.877874861,MLv,16,32,165.5541687,Off West Coast of Northern Sumatra,BMKG
bmg2024bszw,2024-01-25T15:02:53.528479Z,-6.859526634,105.2411346,3.699659077,M,26,43,211.1286697,"Sunda Strait, Indonesia",BMKG
bmg2024bsdl,2024-01-25T03:43:04.662211Z,3.241672993,96.66130829,3.011488089,MLv,10,20,88.262146,"Northern Sumatra, Indonesia",BMKG
bmg2024brmg,2024-01-24T19:02:46.949457Z,-3.698475838,101.5774612,3.389378225,M,20,33,182.3262863,"Southern Sumatra, Indonesia",BMKG
bmg2024bqpx,2024-01-24T07:44:35.028451Z,2.660894156,95.72974396,3.734050251,MLv,15,25,227.5066986,Off West Coast of Northern Sumatra,BMKG
bmg2024bqpl,2024-01-24T07:31:22.655583Z,-0.2110413462,100.3476944,2.66220229,MLv,10,15,113.874115,"Southern Sumatra, Indonesia",BMKG
bmg2024bqil,2024-01-24T03:59:02.52656Z,-2.982845545,100.6426163,3.473447218,MLv,14,23,154.586792,"Southern Sumatra, Indonesia",BMKG
bmg2024bqdb,2024-01-24T01:15:15.928113Z,4.856040955,95.98483276,2.583009643,MLv,10,20,118.5791168,"Northern Sumatra, Indonesia",BMKG
bmg2024bpqq,2024-01-23T18:58:38.670046Z,-3.053143024,102.8733978,3.928248274,MLv,203,80,145.9022827,"Southern Sumatra, Indonesia",BMKG
bmg2024bpkp,2024-01-23T15:55:45.120471Z,-5.076154232,102.2219925,4.020262223,M,13,40,147.258255,"Southern Sumatra, Indonesia",BMKG
bmg2024bpgu,2024-01-23T14:00:00.820574Z,-6.35586071,104.8809738,3.417345909,M,10,39,195.1271286,"Sunda Strait, Indonesia",BMKG
bmg2024boxb,2024-01-23T09:05:03.693911Z,-1.466916442,100.4880295,4.130194088,M,46,48,48.46943665,"Southern Sumatra, Indonesia",BMKG
bmg2024bore,2024-01-23T06:06:56.758433Z,2.126744509,98.97079468,3.005417917,MLv,119,32,95.68589783,"Northern Sumatra, Indonesia",BMKG
bmg2024bnvu,2024-01-22T19:18:57.272654Z,5.456127644,95.53237915,2.633490548,M,16,9,129.1907806,"Northern Sumatra, Indonesia",BMKG
